Date,Year,Month,Day,Time all food in (to match with GPS data),Enclosure,Food Description,Food Type,# Food Buckets,Temperature,Weather,# Ravens Present,Predator/Alarm Call Playback,Food at Wolf/Bear Enclosure,Two Heap Experiment,Novel Person/Object,Hunting/Culling/Construction Work,Feeding in Smaller/Separation Enclosure,# Juveniles Close By,# Juveniles on Ground,Notes
2020/03/04,2020,3,4,,Wild boar,"Bread, pellets, tomatoes",Bread + pellets + vegetables/fruit,3,1,2,64,0,0,0,0,0,0,NA,NA,
2020/03/05,2020,3,5,,Wild boar,"Bread, strawberries",Bread + vegetables/fruit,3,1,1,66,0,0,0,0,0,0,NA,NA,
2020/03/06,2020,3,6,,Wild boar,"Bread, nuts",Bread + nuts,3,4,4,38,0,0,0,0,0,0,NA,NA,
2020/03/07,2020,3,7,,Wild boar,"Bread, pellets",Bread + pellets,2,2,2,56,0,0,0,0,0,0,NA,NA,
2020/03/08,2020,3,8,,Wild boar,"Pellets, bread",Bread + pellets,2,4,1,48,0,0,0,0,0,0,NA,NA,
2020/03/09,2020,3,9,,Wild boar,"Pellets, bread",Bread + pellets,2,0,2,45,0,0,0,0,0,0,NA,NA,
2020/03/10,2020,3,10,,Wild boar,"Pellets, bread, salad",Bread + pellets + vegetables/fruit,3,5,2,35,0,0,0,0,0,0,NA,NA,
2020/03/11,2020,3,11,,Wild boar,Bread,Bread,4,10,2,44,0,0,0,0,0,0,NA,NA,
2020/03/12,2020,3,12,,Wild boar,"Pellets, bread, tomatoes",Bread + pellets + vegetables/fruit,3,6,1,67,0,0,0,0,0,0,NA,NA,
2020/03/13,2020,3,13,,Wild boar,"Pellets, bread",Bread + pellets,3,4,2,58,0,0,0,0,0,0,NA,NA,
2020/03/15,2020,3,15,,Wild boar,"Pellets, bread, tomatoes",Bread + pellets + vegetables/fruit,2,5,1,40,0,0,0,0,0,0,NA,NA,
2020/03/16,2020,3,16,,Wild boar,"Pellets, bread",Bread + pellets,2,2,1,54,0,0,0,0,0,0,NA,NA,
2020/03/17,2020,3,17,,Wild boar,"Pellets, bread",Bread + pellets,2,4,1,60,0,0,0,0,0,0,NA,NA,
2020/03/18,2020,3,18,,Wild boar,Pellets,Pellets,1,5,1,4,0,0,0,0,0,0,NA,NA,
2020/03/19,2020,3,19,,Wild boar,"Bread, strawberries",Bread + vegetables/fruit,3,4,1,48,0,0,0,0,0,0,NA,NA,
2020/03/20,2020,3,20,,Wild boar,"Bread, nuts, fruit",Bread + vegetables/fruit + nuts,3,5,1,54,0,0,0,0,0,0,NA,NA,
2020/03/21,2020,3,21,,Wild boar,"Pellets, bread, nuts, strawberries",Bread + pellets + vegetables/fruit + nuts,3,4,3,52,0,0,0,0,0,0,NA,NA,
2020/03/22,2020,3,22,,Wild boar,"Bread, strawberries, vegetables",Bread + vegetables/fruit,2,-2,2,50,0,0,0,0,0,0,NA,NA,
2020/03/23,2020,3,23,,Wild boar,"Bread, tomatoes",Bread + vegetables/fruit,3,-4,1,60,0,0,0,0,0,0,NA,NA,
2020/03/24,2020,3,24,,Wild boar,"Pellets, bread",Bread + pellets,2,-4,1,65,0,0,0,0,0,0,NA,NA,
2020/03/25,2020,3,25,,Wild boar,Bread,Bread,2,-4,2,56,0,0,0,0,0,0,NA,NA,
2020/03/26,2020,3,26,,Wild boar,Bread,Bread,3,0,2,70,0,0,0,0,0,0,NA,NA,
2020/03/27,2020,3,27,,Wild boar,"Pellets, bread",Bread + pellets,3,5,1,70,0,0,0,0,0,0,NA,NA,
2020/03/28,2020,3,28,,Wild boar,Bread,Bread,4,8,1,60,0,0,0,0,0,0,NA,NA,
2020/03/29,2020,3,29,,Wild boar,Bread,Bread,3,4,2,68,0,0,0,0,0,0,NA,NA,
2020/03/30,2020,3,30,,Wild boar,"Bread, tomatoes",Bread + vegetables/fruit,3,-1,5,56,0,0,0,0,0,0,NA,NA,
2020/03/31,2020,3,31,,Wild boar,Bread,Bread,2,-4,2,54,0,0,0,0,0,0,NA,NA,
2020/04/01,2020,4,1,,Wild boar,Bread,Bread,2,-6,1,47,0,0,0,0,0,0,NA,NA,
2020/04/02,2020,4,2,,Wild boar,"Bread, pellets, strawberries",Bread + pellets + vegetables/fruit,3,-4,1,46,0,0,0,0,0,0,NA,NA,
2020/04/03,2020,4,3,,Wild boar,"Bread, pellets, cabbage, strawberries",Bread + pellets + vegetables/fruit,2,2,2,40,0,0,0,0,0,0,NA,NA,
2020/04/04,2020,4,4,,Wild boar,"Bread, pellets",Bread + pellets,2,4,2,51,0,0,0,0,0,0,NA,NA,
2020/04/05,2020,4,5,,Wild boar,"Pellets, bread, vegetables, banana",Bread + pellets + vegetables/fruit,2,0,1,50,0,0,0,0,0,0,NA,NA,
2020/04/06,2020,4,6,,Wild boar,"Pellets, bread",Bread + pellets,2,7,1,70,0,0,0,0,0,0,NA,NA,
2020/04/07,2020,4,7,,Wild boar,"Pellets, bread",Bread + pellets,2,8,1,63,0,0,0,0,0,0,NA,NA,
2020/04/08,2020,4,8,,Wild boar,"Pellets, bread",Bread + pellets,2,6,1,47,0,0,0,0,0,0,NA,NA,
2020/04/09,2020,4,9,,Wild boar,"Pellets, bread",Bread + pellets,3,7,1,46,0,0,0,0,0,0,NA,NA,
2020/04/10,2020,4,10,,Wild boar,"Bread, pellets, fruit",Bread + pellets + vegetables/fruit,2,6,2,54,0,0,0,0,0,0,NA,NA,
2020/04/11,2020,4,11,,Wild boar,Pellets,Pellets,1,8,1,39,0,0,0,0,0,0,NA,NA,
2020/04/12,2020,4,12,,Wild boar,Bread,Bread,3,8,1,65,0,0,0,0,0,0,NA,NA,
2020/04/13,2020,4,13,,Wild boar,Bread,Bread,3,11,2,60,0,0,0,0,0,0,NA,NA,
2020/04/14,2020,4,14,,Wild boar,"Bread, tomatoes",Bread + vegetables/fruit,3,2,5,60,0,0,0,0,0,0,NA,NA,
2020/04/15,2020,4,15,,Wild boar,"Bread, tomatoes",Bread + vegetables/fruit,4,-3,1,65,0,0,0,0,0,0,NA,NA,
2020/04/16,2020,4,16,,Wild boar,Bread,Bread,4,5,1,65,0,0,0,0,0,0,NA,NA,
2020/04/17,2020,4,17,,Wild boar,"Bread, tomatoes",Bread + vegetables/fruit,4,9,1,57,0,0,0,0,0,0,NA,NA,
2020/04/18,2020,4,18,,Wild boar,Bread,Bread,3,11,2,66,0,0,0,0,0,0,NA,NA,
2020/04/20,2020,4,20,,Wild boar,Bread,Bread,3,6,2,58,0,0,0,0,0,0,NA,NA,
2020/04/21,2020,4,21,,Wild boar,"Bread, pellets",Bread + pellets,3,6,1,60,0,0,0,0,0,0,NA,NA,
2020/04/22,2020,4,22,,Wild boar,"Bread, tomatoes",Bread + vegetables/fruit,3,4,1,56,0,0,0,0,0,0,NA,NA,
2020/04/23,2020,4,23,,Wild boar,Bread,Bread,3,6,1,55,0,0,0,0,0,0,NA,NA,
2020/04/24,2020,4,24,,Wild boar,"Bread, fruit",Bread + vegetables/fruit,3,7,1,59,0,0,0,0,0,0,NA,NA,
2020/04/25,2020,4,25,,Wild boar,"Bread, nuts, bananas",Bread + vegetables/fruit + nuts,3,12,2,55,0,0,0,0,0,0,NA,NA,
2020/04/26,2020,4,26,,Wild boar,"Bread, pellets, vegetables",Bread + pellets + vegetables/fruit,3,10,1,50,0,0,0,0,0,0,NA,NA,
2020/04/27,2020,4,27,,Wild boar,"Bread, pellets, tomatoes",Bread + pellets + vegetables/fruit,2,10,2,40,0,0,0,0,0,0,NA,NA,Tractor present
2020/04/28,2020,4,28,,Wild boar,"Bread, pellets",Bread + pellets,1,10,1,48,0,0,0,0,0,0,NA,NA,
2020/04/29,2020,4,29,,Wild boar,"Bread, pellets",Bread + pellets,1,10,4,30,0,0,0,0,0,0,NA,NA,
2020/04/30,2020,4,30,,Wild boar,"Bread, pellets",Bread + pellets,3,8,1,45,0,0,0,0,0,0,NA,NA,
2020/05/01,2020,5,1,,Wild boar,"Bread, pellets",Bread + pellets,3,7,2,45,0,0,0,0,0,0,NA,NA,
2020/05/02,2020,5,2,,Wild boar,"Bread, pellets",Bread + pellets,3,9,2,50,0,0,0,0,0,0,NA,NA,
2020/05/03,2020,5,3,,Wild boar,"Bread, pellets, vegetables",Bread + pellets + vegetables/fruit,2,9,2,47,0,0,0,0,0,0,NA,NA,
2020/05/05,2020,5,5,,Wild boar,"Bread, pellets",Bread + pellets,3,8,4,40,0,0,0,0,0,0,NA,NA,
2020/05/08,2020,5,8,,Wild boar,"Bread, pellets, nuts",Bread + pellets + nuts,4,11,1,56,0,0,0,0,0,0,NA,NA,
2020/05/11,2020,5,11,,Wild boar,"Bread, pellets, potatoes, tomatoes",Bread + pellets + vegetables/fruit,3,15,3,58,0,0,0,0,0,0,NA,NA,
2020/05/15,2020,5,15,,Wild boar,"Bread, pellets",Bread + pellets,2,8,4,42,0,0,0,0,0,0,NA,NA,
2020/05/18,2020,5,18,,Wild boar,"Bread, pellets",Bread + pellets,2,14,1,40,0,0,0,0,0,0,NA,NA,
2020/05/19,2020,5,19,,Wild boar,"Bread, pellets",Bread + pellets,3,16,1,40,0,0,0,0,0,0,NA,NA,
2020/05/24,2020,5,24,,Wild boar,"Bread, pellets",Bread + pellets,2,10,4,36,0,0,0,0,0,0,NA,NA,
2020/05/25,2020,5,25,,Wild boar,"Bread, pellets",Bread + pellets,2,8,2,29,0,0,0,0,0,0,NA,NA,
2020/05/26,2020,5,26,,Wild boar,"Bread, pellets",Bread + pellets,3,7,2,42,0,0,0,0,0,0,NA,NA,
2020/05/27,2020,5,27,,Wild boar,"Bread, pellets",Bread + pellets,3,6,2,27,0,0,0,0,0,0,NA,NA,
2020/05/28,2020,5,28,,Wild boar,"Bread, pellets",Bread + pellets,3,7,2,24,0,0,0,0,0,0,NA,NA,
2020/05/29,2020,5,29,,Wild boar,"Bread, pellets",Bread + pellets,3,8,3,35,0,0,0,0,0,0,NA,NA,
2020/06/01,2020,6,1,,Wild boar,"Bread, pellets",Bread + pellets,4,10,2,45,0,0,0,0,0,0,NA,NA,
2020/06/02,2020,6,2,,Wild boar,"Bread, tomatoes",Bread + vegetables/fruit,3,14,1,56,0,0,0,0,0,0,NA,NA,
2020/06/03,2020,6,3,,Wild boar,"Bread, pellets",Bread + pellets,3,10,1,36,0,0,0,0,0,0,NA,NA,
2020/06/04,2020,6,4,,Wild boar,"Bread, pellets",Bread + pellets,4,,1,32,0,0,0,0,0,0,NA,NA,
2020/06/05,2020,6,5,,Wild boar,"Bread, pellets",Bread + pellets,3,8,3,38,0,0,0,0,0,0,NA,NA,
2020/06/08,2020,6,8,,Wild boar,"Bread, pellets",Bread + pellets,3,11,2,45,0,0,0,0,0,0,NA,NA,
2020/06/09,2020,6,9,,Wild boar,"Bread, pasta",Bread,3,11,3,50,0,0,0,0,0,0,NA,NA,
2020/06/10,2020,6,10,,Wild boar,"Bread, pellets",Bread + pellets,4,13,2,40,0,0,0,0,0,0,NA,NA,
2020/06/11,2020,6,11,,Wild boar,"Bread, pellets",Bread + pellets,4,,2,45,0,0,0,0,0,0,NA,NA,
2020/06/12,2020,6,12,,Wild boar,"Bread, pellets",Bread + pellets,4,10,1,46,0,0,0,0,0,0,NA,NA,
2020/06/16,2020,6,16,,Wild boar,"Bread, pellets",Bread + pellets,3,12,2,36,0,0,0,0,0,0,NA,NA,
2020/06/17,2020,6,17,,Wild boar,"Bread, pellets",Bread + pellets,4,15,2,45,0,0,0,0,0,0,NA,NA,
2020/06/18,2020,6,18,,Wild boar,"Bread, pellets",Bread + pellets,4,13,2,46,0,0,0,0,0,0,NA,NA,
2020/06/19,2020,6,19,,Wild boar,"Bread, pellets",Bread + pellets,,14,2,35,0,0,0,0,0,0,NA,NA,
2020/06/23,2020,6,23,,Wild boar,"Bread, pellets",Bread + pellets,3,14,2,47,0,0,0,0,0,0,NA,NA,
2020/06/24,2020,6,24,,Wild boar,"Bread, pellets",Bread + pellets,3,15,1,30,0,0,0,0,0,0,NA,NA,
2020/06/29,2020,6,29,,Wild boar,"Bread, pellets",Bread + pellets,2,12,4,48,0,0,0,0,0,0,NA,NA,
2020/06/30,2020,6,30,,Wild boar,"Bread, pellets",Bread + pellets,4,16,2,48,0,0,0,0,0,0,NA,NA,
2020/07/01,2020,7,1,,Wild boar,"Bread, pellets",Bread + pellets,3,15,1,53,0,0,0,0,0,0,NA,NA,
2020/07/02,2020,7,2,,Wild boar,"Bread, pellets",Bread + pellets,2,13,2,52,0,0,0,0,0,0,NA,NA,
2020/07/03,2020,7,3,,Wild boar,"Bread, pellets",Bread + pellets,3,16,2,43,0,0,0,0,0,0,NA,NA,
2020/07/06,2020,7,6,,Wild boar,"Bread, pellets",Bread + pellets,3,18,2,39,0,0,0,0,0,0,NA,NA,
2020/07/07,2020,7,7,,Wild boar,"Bread, pellets, fish intestines",Bread + pellets + entrails,4,20,1,38,0,0,0,0,0,0,NA,NA,
2020/07/08,2020,7,8,,Wild boar,"Bread, pellets",Bread + pellets,3,22,1,40,0,0,0,0,0,0,NA,NA,
2020/07/09,2020,7,9,,Wild boar,"Bread, pellets",Bread + pellets,4,18,1,33,0,0,0,0,0,0,NA,NA,
2020/07/10,2020,7,10,,Wild boar,"Bread, pellets",Bread + pellets,5,23,1,38,0,0,0,0,0,0,NA,NA,
2020/07/13,2020,7,13,,Wild boar,Pellets,Pellets,1,12,1,42,0,0,0,0,0,0,NA,NA,
2020/07/14,2020,7,14,,Wild boar,"Bread, pellets",Bread + pellets,2,11,1,44,0,0,0,0,0,0,NA,NA,
2020/07/16,2020,7,16,,Wild boar,"Bread, pellets",Bread + pellets,2,14,2,30,0,0,0,0,0,0,NA,NA,
2020/07/21,2020,7,21,,Wild boar,"Bread, pellets",Bread + pellets,3,20,1,50,0,0,0,0,0,0,NA,NA,
2020/07/22,2020,7,22,,Wild boar,"Bread, pellets, fish",Bread + pellets + entrails,3,18,2,42,0,0,0,0,0,0,NA,NA,
2020/07/23,2020,7,23,,Wild boar,"Bread, pellets",Bread + pellets,3,16,1,45,0,0,0,0,0,0,NA,NA,
2020/07/24,2020,7,24,,Wild boar,"Bread, pellets",Bread + pellets,2,15,2,34,0,0,0,0,0,0,NA,NA,
2020/07/28,2020,7,28,,Wild boar,"Bread, pellets",Bread + pellets,3,16,1,54,0,0,0,0,0,0,NA,NA,
2020/07/29,2020,7,29,,Wild boar,"Bread, pellets, entrails",Bread + pellets + entrails,3,17,2,30,0,0,0,0,0,0,NA,NA,
2020/07/30,2020,7,30,,Wild boar,"Bread, pellets",Bread + pellets,4,22,1,40,0,0,0,0,0,0,NA,NA,
2020/07/31,2020,7,31,,Wild boar,"Bread, pellets",Bread + pellets,3,23,1,55,0,0,0,0,0,0,NA,NA,
2020/08/03,2020,8,3,,Wild boar,"Bread, pellets, nuts",Bread + pellets + nuts,3,17,4,53,0,0,0,0,0,0,NA,NA,
2020/08/05,2020,8,5,,Wild boar,"Bread, pellets",Bread + pellets,3,15,2,52,0,0,0,0,0,0,NA,NA,
2020/08/06,2020,8,6,,Wild boar,"Bread, pellets",Bread + pellets,4,18,2,38,0,0,0,0,0,0,NA,NA,
2020/08/07,2020,8,7,,Wild boar,"Bread, pellets",Bread + pellets,4,22,2,55,0,0,0,0,0,0,NA,NA,
2020/08/10,2020,8,10,,Wild boar,"Bread, pellets, tomatoes",Bread + pellets + vegetables/fruit,3,22,1,45,0,0,0,0,0,0,NA,NA,
2020/08/11,2020,8,11,,Wild boar,"Bread, pellets, tomatoes",Bread + pellets + vegetables/fruit,2,21,1,60,0,0,0,0,0,0,NA,NA,
2020/08/12,2020,8,12,,Wild boar,"Pellets, nuts, corn",Pellets + vegetables/fruit + nuts,2,20,2,50,0,0,0,0,0,0,NA,NA,
2020/08/13,2020,8,13,,Wild boar,"Pellets, nuts",Pellets + nuts,2,22,2,40,0,0,0,0,0,0,NA,NA,
2020/08/14,2020,8,14,,Wild boar,"Pellets, kiwi",Pellets + vegetables/fruit,2,19,2,45,0,0,0,0,0,0,NA,NA,
2020/08/17,2020,8,17,,Wild boar,"Pellets, bread",Bread + pellets,3,18,2,40,0,0,0,0,0,0,NA,NA,
2020/08/18,2020,8,18,,Wild boar,"Pellets, bread, fish offal",Bread + pellets + entrails,3,13,4,24,0,0,0,0,0,0,NA,NA,
2020/08/19,2020,8,19,,Wild boar,"Pellets, bread",Bread + pellets,3,13,2,20,0,0,0,0,0,0,NA,NA,
2020/08/20,2020,8,20,,Wild boar,"Pellets, bread, nuts",Bread + pellets + nuts,3,14,1,40,0,0,0,0,0,0,NA,NA,
2020/08/21,2020,8,21,,Wild boar,"Pellets, bread",Bread + pellets,3,20,1,35,0,0,0,0,0,0,NA,NA,
2020/08/25,2020,8,25,,Wild boar,"Pellets, bread, tomatoes, fish offal",Bread + pellets + vegetables/fruit + entrails,4,20,1,25,0,0,0,0,0,0,NA,NA,
2020/08/31,2020,8,31,,Wild boar,"Pellets, vegetables, bread",Bread + pellets + vegetables/fruit,2,16,2,45,0,0,0,0,0,0,NA,NA,
2020/09/01,2020,9,1,,Wild boar,"Pellets, bread, kiwi",Bread + pellets + vegetables/fruit,2,16,4,35,0,0,0,0,0,0,NA,NA,
2020/09/02,2020,9,2,,Wild boar,"Pellets, bread, tomatoes",Bread + pellets + vegetables/fruit,3,13,2,40,0,0,0,0,0,0,NA,NA,
2020/09/04,2020,9,4,,Wild boar,"Pellets, bread",Bread + pellets,2,18,1,35,0,0,0,0,0,0,NA,NA,
2020/09/05,2020,9,5,,Wild boar,"Pellets, bread",Bread + pellets,3,22,1,30,0,0,0,0,0,0,NA,NA,
2020/09/08,2020,9,8,,Wild boar,"Pellets, bread, tomatoes, fish",Bread + pellets + vegetables/fruit + entrails,3,12,1,13,0,0,0,0,0,0,NA,NA,
2020/09/09,2020,9,9,,Wild boar,"Pellets, bread, cookies",Bread + pellets,2,13,2,40,0,0,0,0,0,0,NA,NA,
2020/09/10,2020,9,10,,Wild boar,"Pellets, bread",Bread + pellets,2,15,1,45,0,0,0,0,0,0,NA,NA,
2020/09/11,2020,9,11,,Wild boar,"Pellets, bread",Bread + pellets,2,16,1,40,0,0,0,0,0,0,NA,NA,
2020/09/15,2020,9,15,,Wild boar,"Pellets, bread, tomatoes",Bread + pellets + vegetables/fruit,4,13,1,50,0,0,0,0,0,0,NA,NA,
2020/09/16,2020,9,16,,Wild boar,"Pellets, bread, tomatoes",Bread + pellets + vegetables/fruit,4,13,1,58,0,0,0,0,0,0,NA,NA,
2020/09/17,2020,9,17,,Wild boar,Bread,Bread,4,14,2,55,0,0,0,0,0,0,NA,NA,
2020/09/18,2020,9,18,,Wild boar,Bread,Bread,3,9,2,54,0,0,0,0,0,0,NA,NA,
2020/09/22,2020,9,22,,Wild boar,"Fish, bread, pellets",Bread + pellets + entrails,3,10,1,36,0,0,0,0,0,0,NA,NA,
2020/09/23,2020,9,23,,Wild boar,"Bread, fruit, pellets",Bread + pellets + vegetables/fruit,2,14,2,35,0,0,0,0,0,0,NA,NA,
2020/09/24,2020,9,24,,Wild boar,"Pellets, apples, little bread",Bread + pellets + vegetables/fruit,3,11,1,65,0,0,0,0,0,0,NA,NA,
2020/09/25,2020,9,25,,Wild boar,"Pellets, apple shavings, bread",Bread + pellets + vegetables/fruit,2,12,3,30,0,0,0,0,0,0,NA,NA,
2020/09/28,2020,9,28,,Wild boar,"Pellets, fruit, fermented bread",Bread + pellets + vegetables/fruit,3,6,3,40,0,0,0,0,0,0,NA,NA,
2020/09/29,2020,9,29,,Wild boar,"Pellets, tomatoes, fish organs, fermented bread",Bread + pellets + vegetables/fruit + entrails,4,8,2,50,0,0,0,0,0,0,NA,NA,
2020/09/30,2020,9,30,,Wild boar,"Bread, pellets, tomatoes, kiwi, dog food",Bread + pellets + vegetables/fruit + kitchen scraps,3,9,3,56,1,0,0,0,0,0,NA,NA,Goshawk playback 5 min into feeding
2020/10/01,2020,10,1,,Wild boar,"Pellets, apples, bread",Bread + pellets + vegetables/fruit,2,6,2,27,0,0,0,0,0,0,NA,NA,
2020/10/02,2020,10,2,,Wild boar,"Pellets, bread",Bread + pellets,2,7,2,40,1,0,0,0,0,0,NA,NA,Goshawk playback
2020/10/03,2020,10,3,,Wild boar,"Pellets, bread",Bread + pellets,2,15,2,24,0,0,0,1,0,0,NA,NA,Novel object test
2020/10/05,2020,10,5,,Wild boar,"Pellets, bread",Bread + pellets,2,10,2,34,0,0,0,0,0,0,NA,NA,
2020/10/06,2020,10,6,,Wild boar,"Pellets, bread, fish organs",Bread + pellets + entrails,3,7,2,30,0,0,0,0,0,0,NA,NA,
2020/10/07,2020,10,7,,Wild boar,"Pellets, bread, physalis",Bread + pellets + vegetables/fruit,2,10,3,32,0,0,0,1,0,0,NA,NA,Novel object test
2020/10/08,2020,10,8,,Wild boar,"Pellets, bread",Bread + pellets,2,9,3,36,0,0,0,0,0,0,NA,NA,
2020/10/09,2020,10,9,,Wild boar,"Pellets, bread",Bread + pellets,3,8,1,48,0,0,0,0,0,0,NA,NA,
2020/10/12,2020,10,12,,Wild boar,"Pellets, bread, walnuts",Bread + pellets + nuts,3,6,3,48,0,0,0,1,0,0,NA,NA,Novel object test
2020/10/13,2020,10,13,,Wild boar,"Bread, pellets, tomatoes",Bread + pellets + vegetables/fruit,2,5,2,17,0,0,0,0,0,0,NA,NA,
2020/10/14,2020,10,14,,Wild boar,"Fish parts, pellets, bread",Bread + pellets + raw meat scraps,3,5,2,68,0,0,0,0,0,0,NA,NA,
2020/10/15,2020,10,15,,Wild boar,"Bread, pellets",Bread + pellets,3,2,2,56,1,0,0,0,0,0,NA,NA,Golden Eagle playback
2020/10/19,2020,10,19,,Wild boar,"Bread, pellets",Bread + pellets,3,3,1,44,0,0,0,0,0,0,NA,NA,
2020/10/20,2020,10,20,,Wild boar,Pellets,Pellets,2,1,1,25,0,0,0,1,0,0,NA,NA,Novel object test
2020/10/21,2020,10,21,,Wild boar,"Pellets, fish organs",Pellets + entrails,2,5,1,70,0,0,0,0,0,0,NA,NA,
2020/10/22,2020,10,22,,Wild boar,"Pellets, bread",Bread + pellets,2,5,1,38,1,0,0,0,0,0,NA,NA,Gunshot playback
2020/10/23,2020,10,23,,Wild boar,"Pellets, bread",Bread + pellets,2,9,2,60,0,0,0,0,0,0,NA,NA,
2020/10/26,2020,10,26,,Wild boar,"Pellets, bread",Bread + pellets,2,9,2,38,1,0,0,0,0,0,NA,NA,Owl playback
2020/10/27,2020,10,27,,Wild boar,"Pellets, bread",Bread + pellets,3,4,3,36,0,0,0,0,0,0,NA,NA,
2020/10/28,2020,10,28,,Wild boar,"Bread, tomatoes, fish organs, breadcrumbs",Bread + vegetables/fruit + entrails,3,2,1,32,0,0,0,0,0,0,NA,NA,
2020/10/29,2020,10,29,,Wild boar,"Bread, pellets, tomatoes",Bread + pellets + vegetables/fruit,3,8,4,40,0,0,0,0,0,0,NA,NA,
2020/10/30,2020,10,30,,Wild boar,Bread,Bread,2,7,4,36,0,0,0,1,0,0,NA,NA,Novel object
2020/11/02,2020,11,2,,Wild boar,"Bread, pellets, tomatoes",Bread + pellets + vegetables/fruit,2,9,2,33,0,0,0,0,0,0,NA,NA,
2020/11/03,2020,11,3,,Wild boar,"Bread, pellets",Bread + pellets,3,13,2,42,1,0,0,0,0,0,NA,NA,Gunshot playback
2020/11/04,2020,11,4,,Wild boar,"Bread, pellets, fish organs",Bread + pellets + entrails,3,8,2,57,0,0,0,0,0,0,NA,NA,
